,album_id,name,release_date,total_tracks,url
0,61ulfFSmmxMhc2wCdmdMkN,Merry Christmas,,10,https://open.spotify.com/album/61ulfFSmmxMhc2wCdmdMkN
1,2wyHNTisH8PtZG8OG58xr6,The Singles: Echoes from the Edge of Heaven,,16,https://open.spotify.com/album/2wyHNTisH8PtZG8OG58xr6
2,34wa3zf2prXFMk47t9zHFG,Merry Christmas From Brenda Lee,,12,https://open.spotify.com/album/34wa3zf2prXFMk47t9zHFG
3,3UOV8XvCwMKaATRNXrYCjN,greedy,,1,https://open.spotify.com/album/3UOV8XvCwMKaATRNXrYCjN
4,3wivyOdotHWZ9dcuXMjPKT,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),,2,https://open.spotify.com/album/3wivyOdotHWZ9dcuXMjPKT
5,27MNgBEnLCKoafz1g2Zu97,Santa Tell Me,,1,https://open.spotify.com/album/27MNgBEnLCKoafz1g2Zu97
6,2Cn1d2KgbkAqbZCJ1RzdkA,The Land Is Inhospitable and So Are We,,11,https://open.spotify.com/album/2Cn1d2KgbkAqbZCJ1RzdkA
7,53fJVD9LpBKEMqdAF7PW5K,Christmas (Deluxe Special Edition),,21,https://open.spotify.com/album/53fJVD9LpBKEMqdAF7PW5K
8,6VCO0fDBGbRW8mCEvV95af,Lovin On Me,,1,https://open.spotify.com/album/6VCO0fDBGbRW8mCEvV95af
9,2vcGYJcPfXUmCdcXXqqukg,Everyday Is Christmas (Deluxe Edition),,13,https://open.spotify.com/album/2vcGYJcPfXUmCdcXXqqukg
10,30eO7X0doSEWKhDLAFLMuW,The Andy Williams Christmas Album,,12,https://open.spotify.com/album/30eO7X0doSEWKhDLAFLMuW
11,1NAmidJlEaVgA3MpcPFYGq,Lover,,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq
12,5I48ENiZiaZZSOpec6PdS5,A Winter Romance,,12,https://open.spotify.com/album/5I48ENiZiaZZSOpec6PdS5
13,7tzVd1fwkxsorytCBjEJkU,The Idol Episode 4 (Music from the HBO Original Series),,3,https://open.spotify.com/album/7tzVd1fwkxsorytCBjEJkU
14,7Jahqd1kx9Qau0E9x9iZj6,Wrapped In Red,,14,https://open.spotify.com/album/7Jahqd1kx9Qau0E9x9iZj6
15,3CKVXhODttZebJAzjUs2un,Christmas,,16,https://open.spotify.com/album/3CKVXhODttZebJAzjUs2un
16,2IoSjweCu07y9mv5H1Cj3v,La Diabla,,1,https://open.spotify.com/album/2IoSjweCu07y9mv5H1Cj3v
17,3No96PtEFyRfX1oELmZTPu,Feliz Navidad,,15,https://open.spotify.com/album/3No96PtEFyRfX1oELmZTPu
18,5pSk3c3wVwnb2arb6ohCPU,GOLDEN,,11,https://open.spotify.com/album/5pSk3c3wVwnb2arb6ohCPU
19,1bBez9PNvkJPW08bU7NYta,Scarlet,,15,https://open.spotify.com/album/1bBez9PNvkJPW08bU7NYta
20,3aYOF3HVkIr1IzhePfQS7s,Sleigh Ride,,15,https://open.spotify.com/album/3aYOF3HVkIr1IzhePfQS7s
21,0FqAaUEyKCyUNFE1uQPZ7i,MAÑANA SERÁ BONITO (BICHOTA SEASON),,9,https://open.spotify.com/album/0FqAaUEyKCyUNFE1uQPZ7i
22,66k6EGkPtYoN44anGIsEPW,Si No Estás,,1,https://open.spotify.com/album/66k6EGkPtYoN44anGIsEPW
23,4FftCsAcXXD1nFO9RFUNFO,nadie sabe lo que va a pasar mañana,,22,https://open.spotify.com/album/4FftCsAcXXD1nFO9RFUNFO
24,78bpIziExqiI9qztvNFlQu,AM,,12,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu
25,63MKT9hwmiMFFdFp5SdB1p,Under The Mistletoe (Deluxe Edition),,15,https://open.spotify.com/album/63MKT9hwmiMFFdFp5SdB1p
26,18ogtNq9F7DmMkNYO6Xb4k,Strangers,,1,https://open.spotify.com/album/18ogtNq9F7DmMkNYO6Xb4k
27,22sXXkKgjEuawIFL1e1tRw,Water,,1,https://open.spotify.com/album/22sXXkKgjEuawIFL1e1tRw
29,0lgs2Sa82lyX89nBUWyUy6,FERXXOCALIPSIS,,10,https://open.spotify.com/album/0lgs2Sa82lyX89nBUWyUy6
30,3zu0hJJew2qXZNlselIQk8,Pa las Baby's Y Belikeada,,30,https://open.spotify.com/album/3zu0hJJew2qXZNlselIQk8
31,50ZenUP4O2Q5eCy2NRNvuz,Stick Season,,14,https://open.spotify.com/album/50ZenUP4O2Q5eCy2NRNvuz
33,4x6cjOcVz44aiLSOHCLKPd,Que Onda,,1,https://open.spotify.com/album/4x6cjOcVz44aiLSOHCLKPd
34,1xJHno7SmdVtZAtXbdbDZp,GUTS,,12,https://open.spotify.com/album/1xJHno7SmdVtZAtXbdbDZp
35,3VLY9g3CAG1Y5r2eGVEaZ0,BELLAKEO,,1,https://open.spotify.com/album/3VLY9g3CAG1Y5r2eGVEaZ0
36,6MvKUOSuPdfH0WLeQjR3eR,Have A Holly Jolly Christmas,,12,https://open.spotify.com/album/6MvKUOSuPdfH0WLeQjR3eR
37,30KJEN3ICjhYsZ1NgunRCr,La Víctima,,1,https://open.spotify.com/album/30KJEN3ICjhYsZ1NgunRCr
38,555NIhJIQ4XoS5N7VglF0v,Signature Box,,119,https://open.spotify.com/album/555NIhJIQ4XoS5N7VglF0v
39,2ODvWsOgouMbaA5xf0RkJe,Starboy,,18,https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe
40,3Fk8yQvPlCHgwR2pNhEIRA,Don Juan,,25,https://open.spotify.com/album/3Fk8yQvPlCHgwR2pNhEIRA
41,1nrVofqDRs7cpWXJ49qTnP,SOS,,23,https://open.spotify.com/album/1nrVofqDRs7cpWXJ49qTnP
42,4rJDCELWL0fjdmN9Gn4f4g,The Forever Story (Extended Version),,16,https://open.spotify.com/album/4rJDCELWL0fjdmN9Gn4f4g
43,6NcI39WPu4kY6Tul11nhSv,Daylight,,1,https://open.spotify.com/album/6NcI39WPu4kY6Tul11nhSv
44,4XbPmVHP7EYBMoE7ZVjKCU,Christmas Songs by Sinatra,,14,https://open.spotify.com/album/4XbPmVHP7EYBMoE7ZVjKCU
45,3NoP1ifIejWkGSDsO9T2xH,The Nat King Cole Story,,36,https://open.spotify.com/album/3NoP1ifIejWkGSDsO9T2xH
46,3AafSrFIbJPH6BJHiJm1Cd,"What Was I Made For? [From The Motion Picture ""Barbie""]",,1,https://open.spotify.com/album/3AafSrFIbJPH6BJHiJm1Cd
48,3puAvurwvtvi1rodndIPW8,LA VIDA ES UNA,,23,https://open.spotify.com/album/3puAvurwvtvi1rodndIPW8
49,5r36AJ6VOJtp00oxSkBZ5h,Harry's House,,13,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h
