,artists_id,artists_name,external_url
0,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ
1,5lpH0xAS4fVfLkACg9DAuM,Wham!,https://api.spotify.com/v1/artists/5lpH0xAS4fVfLkACg9DAuM
2,4cPHsZM98sKzmV26wlwD2W,Brenda Lee,https://api.spotify.com/v1/artists/4cPHsZM98sKzmV26wlwD2W
3,45dkTj5sMRSjrmBSBeiHym,Tate McRae,https://api.spotify.com/v1/artists/45dkTj5sMRSjrmBSBeiHym
4,38EmEgXkgK51MT2tPY0EoC,Bobby Helms,https://api.spotify.com/v1/artists/38EmEgXkgK51MT2tPY0EoC
5,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR
6,2uYWxilOVlUdk4oV9DvwqK,Mitski,https://api.spotify.com/v1/artists/2uYWxilOVlUdk4oV9DvwqK
7,1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,https://api.spotify.com/v1/artists/1GxkXlMwML1oSg5eLPiAz3
8,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,https://api.spotify.com/v1/artists/2LIk90788K0zvyj2JJVwkJ
9,5WUlDfRSoLAfcVSX1WnrxN,Sia,https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN
10,4sj6D0zlMOl25nprDJBiU9,Andy Williams,https://api.spotify.com/v1/artists/4sj6D0zlMOl25nprDJBiU9
11,06HL4z0CvFAxyc27GXpf02,Taylor Swift,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02
12,49e4v89VmlDcFCMyDv9wQ9,Dean Martin,https://api.spotify.com/v1/artists/49e4v89VmlDcFCMyDv9wQ9
13,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ
14,250b0Wlc5Vk0CoUsaCY84M,JENNIE,https://api.spotify.com/v1/artists/250b0Wlc5Vk0CoUsaCY84M
15,1pBLC0qVRTB5zVMuteQ9jJ,Lily-Rose Depp,https://api.spotify.com/v1/artists/1pBLC0qVRTB5zVMuteQ9jJ
16,3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,https://api.spotify.com/v1/artists/3BmGtnKgCSGYIUhmivXKWX
18,3Me35AWHCGqW4sZ7bWWJt1,Xavi,https://api.spotify.com/v1/artists/3Me35AWHCGqW4sZ7bWWJt1
19,7K78lVZ8XzkjfRSI7570FF,José Feliciano,https://api.spotify.com/v1/artists/7K78lVZ8XzkjfRSI7570FF
20,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,https://api.spotify.com/v1/artists/6HaGTQPmzraVmaVxvz6EUc
21,3MdXrJWsbVzdn6fe5JYkSQ,Latto,https://api.spotify.com/v1/artists/3MdXrJWsbVzdn6fe5JYkSQ
22,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5
23,7CyeXFnOrfC1N6z4naIpgo,The Ronettes,https://api.spotify.com/v1/artists/7CyeXFnOrfC1N6z4naIpgo
24,790FomKkXshlbRYZFtlgla,KAROL G,https://api.spotify.com/v1/artists/790FomKkXshlbRYZFtlgla
25,12GqGscKJx3aE4t07u7eVZ,Peso Pluma,https://api.spotify.com/v1/artists/12GqGscKJx3aE4t07u7eVZ
26,0jbo7KFNMiIkfBR6ih0yhm,iñigo quintero,https://api.spotify.com/v1/artists/0jbo7KFNMiIkfBR6ih0yhm
27,4q3ewBCX7sLwd24euuV69X,Bad Bunny,https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X
28,2LRoIwlKmHjgvigdNGBHNo,Feid,https://api.spotify.com/v1/artists/2LRoIwlKmHjgvigdNGBHNo
29,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,https://api.spotify.com/v1/artists/7Ln80lUS6He07XvHI8qqHH
