,song_id,song_name,song_duration,song_popularity,song_added,album_id,artists_id
0,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,241106,100,,61ulfFSmmxMhc2wCdmdMkN,4iHNK0tOyZPYnBU7nGAgpQ
1,06qMRF18gwbOYYbnP2du6i,Last Christmas - Single Version,265960,89,,2wyHNTisH8PtZG8OG58xr6,5lpH0xAS4fVfLkACg9DAuM
2,2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,126266,98,,34wa3zf2prXFMk47t9zHFG,4cPHsZM98sKzmV26wlwD2W
3,3rUGC1vUpkDG9CZFHMur1t,greedy,131872,99,,3UOV8XvCwMKaATRNXrYCjN,45dkTj5sMRSjrmBSBeiHym
4,7vQbuQcyTflfCIOu3Uzzya,Jingle Bell Rock,130973,94,,3wivyOdotHWZ9dcuXMjPKT,38EmEgXkgK51MT2tPY0EoC
5,0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,204093,96,,27MNgBEnLCKoafz1g2Zu97,66CXWjxzNUsdJxJ2JdwvnR
6,3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,137773,98,,2Cn1d2KgbkAqbZCJ1RzdkA,2uYWxilOVlUdk4oV9DvwqK
7,1rv46mRwDqMEhOBZ7vODg3,It's Beginning to Look a Lot like Christmas,207199,87,,53fJVD9LpBKEMqdAF7PW5K,1GxkXlMwML1oSg5eLPiAz3
8,4xhsWYTOGcal8zt0J161CU,Lovin On Me,138411,97,,6VCO0fDBGbRW8mCEvV95af,2LIk90788K0zvyj2JJVwkJ
9,7uoFMmxln0GPXQ0AcCBXRq,Snowman,165900,94,,2vcGYJcPfXUmCdcXXqqukg,5WUlDfRSoLAfcVSX1WnrxN
10,1IcR6RlgvDczfvoWJSSY2A,It's the Most Wonderful Time of the Year,151000,79,,30eO7X0doSEWKhDLAFLMuW,4sj6D0zlMOl25nprDJBiU9
11,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,178426,98,,1NAmidJlEaVgA3MpcPFYGq,06HL4z0CvFAxyc27GXpf02
12,2uFaJJtFpPDc5Pa95XzTvg,Let It Snow! Let It Snow! Let It Snow!,117146,95,,5I48ENiZiaZZSOpec6PdS5,49e4v89VmlDcFCMyDv9wQ9
13,7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,94,,7tzVd1fwkxsorytCBjEJkU,1Xyo4u8uXC1ZmMpatF05PJ
14,3YZE5qDV7u1ZD1gZc47ZeR,Underneath the Tree,229640,86,,7Jahqd1kx9Qau0E9x9iZj6,3BmGtnKgCSGYIUhmivXKWX
15,6tjituizSxwSmBB5vtgHZE,Holly Jolly Christmas,119786,83,,3CKVXhODttZebJAzjUs2un,1GxkXlMwML1oSg5eLPiAz3
16,0R6NfOiLzLj4O5VbYSJAjf,La Diabla,172264,88,,2IoSjweCu07y9mv5H1Cj3v,3Me35AWHCGqW4sZ7bWWJt1
17,0oPdaY4dXtc3ZsaG17V972,Feliz Navidad,182066,88,,3No96PtEFyRfX1oELmZTPu,7K78lVZ8XzkjfRSI7570FF
18,2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),183550,90,,5pSk3c3wVwnb2arb6ohCPU,6HaGTQPmzraVmaVxvz6EUc
19,56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,230480,88,,1bBez9PNvkJPW08bU7NYta,5cj0lLjcoR7YOSnhnX0Po5
20,7fUYUcWy853HS8YJn0b3Sr,Sleigh Ride,181266,83,,3aYOF3HVkIr1IzhePfQS7s,7CyeXFnOrfC1N6z4naIpgo
21,5RqSsdzTNPX1uzkmlHCFvK,QLONA,172797,93,,0FqAaUEyKCyUNFE1uQPZ7i,790FomKkXshlbRYZFtlgla
22,2HafqoJbgXdtjwCOvNEF14,Si No Estás,184061,97,,66k6EGkPtYoN44anGIsEPW,0jbo7KFNMiIkfBR6ih0yhm
23,7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,162767,96,,4FftCsAcXXD1nFO9RFUNFO,4q3ewBCX7sLwd24euuV69X
24,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,183956,95,,78bpIziExqiI9qztvNFlQu,7Ln80lUS6He07XvHI8qqHH
25,7xapw9Oy21WpfEcib2ErSA,Mistletoe,182946,92,,63MKT9hwmiMFFdFp5SdB1p,1uNFoZAHBGtllmzznpCI3s
26,5mjYQaktjmjcMKcUIcqz4s,Strangers,172964,96,,18ogtNq9F7DmMkNYO6Xb4k,7uMDnSZyUYNBPLhPMNuaM2
27,5aIVCx5tnk0ntmdiinnYvw,Water,200255,95,,22sXXkKgjEuawIFL1e1tRw,3SozjO3Lat463tQICI9LcE
28,2KslE17cAJNHTsI2MI0jb2,Standing Next to You,206019,97,,5pSk3c3wVwnb2arb6ohCPU,6HaGTQPmzraVmaVxvz6EUc
29,7bywjHOc0wSjGGbj04XbVi,LUNA,196800,88,,0lgs2Sa82lyX89nBUWyUy6,2LRoIwlKmHjgvigdNGBHNo
30,6CvTEtGagmzQvkUzzyKR9k,HARLEY QUINN,143327,94,,3zu0hJJew2qXZNlselIQk8,0ys2OFYzWYB5hRDLCsBqxt
31,0mflMxspEfB0VbI1kyLiAv,Stick Season,182346,93,,50ZenUP4O2Q5eCy2NRNvuz,2RQXRUsr4IW1f3mKyKsy4B
32,5PyDJG7SQRgWXefgexqIge,Agora Hills,265360,84,,1bBez9PNvkJPW08bU7NYta,5cj0lLjcoR7YOSnhnX0Po5
33,6uIIdjYTxxpWOyWuVXrKQO,Que Onda,191466,94,,4x6cjOcVz44aiLSOHCLKPd,6dLuQ5qXxIuWc5urxfIiZR
34,1kuGVB7EU95pJObxwvfwKS,vampire,219724,94,,1xJHno7SmdVtZAtXbdbDZp,1McMsnEElThX1knmY4oliG
35,05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,197333,86,,3VLY9g3CAG1Y5r2eGVEaZ0,12GqGscKJx3aE4t07u7eVZ
36,77khP2fIVhSW23NwxrRluh,A Holly Jolly Christmas,135533,91,,6MvKUOSuPdfH0WLeQjR3eR,0MHgLfmQdutffmvWe5XBTN
37,5XVdHRf4CAJ2Jm0uMIy5qY,La Víctima,156345,90,,30KJEN3ICjhYsZ1NgunRCr,3Me35AWHCGqW4sZ7bWWJt1
38,27RYrbL6S02LNVhDWVl38b,Happy Xmas (War Is Over) - Remastered 2010,214333,91,,555NIhJIQ4XoS5N7VglF0v,4x1nvY2FN8jxqAFA0DA02H
39,7MXVkk9YMctZqd1Srtv4MB,Starboy,230453,93,,2ODvWsOgouMbaA5xf0RkJe,1Xyo4u8uXC1ZmMpatF05PJ
40,4bw8mcDUSRWfQo63ZTYRnU,Según Quién,142334,90,,3Fk8yQvPlCHgwR2pNhEIRA,1r4hJ1h58CWwUQe3MxPuau
41,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,153946,91,,1nrVofqDRs7cpWXJ49qTnP,7tYKF4w9nC0nq9CsPZTHyP
42,1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),229938,91,,4rJDCELWL0fjdmN9Gn4f4g,6U3ybJ9UHNKEdsH7ktGBZ7
43,1odExI7RdWc4BT515LTAwj,Daylight,212953,94,,6NcI39WPu4kY6Tul11nhSv,33NVpKoXjItPwUJTMZIOiY
44,4kKdvXD0ez7jp1296JmAts,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),155453,90,,4XbPmVHP7EYBMoE7ZVjKCU,1Mxqyy3pSjf8kZZL4QVxS0
45,5humEOJehpAwMJEJmb0JJ2,The Christmas Song (Merry Christmas To You),190973,70,,3NoP1ifIejWkGSDsO9T2xH,7v4imS0moSyGdXyLgVTIV7
46,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",222369,93,,3AafSrFIbJPH6BJHiJm1Cd,6qqNVTkY8uBg9cP3Jd7DAH
47,4MjDJD8cW7iVeWInc2Bdyj,MONACO,267194,95,,4FftCsAcXXD1nFO9RFUNFO,4q3ewBCX7sLwd24euuV69X
48,7ABLbnD53cQK00mhcaOUVG,LALA,197920,94,,3puAvurwvtvi1rodndIPW8,7iK8PXO48WeuP03g8YR51W
49,4Dvkj6JhhA12EX05fT7y2e,As It Was,167303,94,,5r36AJ6VOJtp00oxSkBZ5h,6KImCVD70vtIoJWnq6nGn3
